电影名称,电影类型,出品国家,上映年份,上映月份,上映日期,电影时长,电影评分,打分人数,想看人数,累计票房,首日票房,首周票房
新喜剧之王,"剧情,喜剧",中国大陆,2019,2,5,91,8,550000,333000,62699,27300,53600
新木乃伊,"动作,冒险,奇幻",美国,2017,6,9,106,7.1,450000,123000,62500,12000,35900
蝙蝠侠大战超人：正义黎明,"动作,科幻,奇幻",美国,2016,3,25,151,8,420000,342000,61800,12000,37200
学爸,"剧情,喜剧",中国大陆,2023,8,18,118,9.3,70000,298000,61400,4693,16900
失控玩家,"动作,冒险","美国,加拿大",2021,8,27,114,8.9,190000,98000,61200,3330,15400
功夫熊猫2,动画,美国,2011,5,28,91,8.6,2246,62,61100,5344,11500
神奇女侠,"动作,冒险,奇幻",美国,2017,6,2,142,8.6,430000,123000,61000,7401,26300
狙击手,"剧情,战争,历史",中国大陆,2022,2,1,96,9.5,150000,155000,60800,4826,26300
一条狗的使命,"剧情,喜剧",美国,2017,3,3,101,8.9,470000,44000,60700,2449,11900
狄仁杰之四大天王,"动作,悬疑,奇幻,武侠,古装",中国大陆,2018,7,27,132,8.1,390000,358000,60599,11000,29600
银河护卫队3,"动作,科幻,冒险",美国,2023,5,5,150,9.2,130000,311000,60599,4159,19000
熊出没·变形记,"动画,喜剧,冒险",中国大陆,2018,2,16,90,9.1,450000,113000,60500,7612,20800
使徒行者,"动作,犯罪",中国大陆,2016,8,11,109,8.8,660000,165000,60500,5700,24000
李茶的姑妈,喜剧,中国大陆,2018,9,30,113,7.9,450000,164000,60400,10600,10600
狄仁杰之神都龙王,"动作,悬疑,古装","中国大陆,中国香港",2013,9,28,134,8.3,10000,8022,60000,5523,9488
银河护卫队,"动作,科幻,冒险",美国,2014,10,10,121,9.2,200000,52000,59600,4608,19200
熊出没·狂野大陆,"喜剧,科幻,动画",中国大陆,2021,2,12,99,8.9,250000,390000,59500,7268,21300
金陵十三钗,"剧情,战争,历史",中国大陆,2011,12,15,145,8.3,2138,82,59200,1740,14300
神奇动物在哪里,"冒险,奇幻,家庭",美国,2016,11,25,133,8.9,410000,131000,59000,7484,28300
美女与野兽,"爱情,歌舞,奇幻",美国,2017,3,17,129,8.2,350000,94000,59000,8372,31000
匆匆那年,"校园,爱情",中国大陆,2014,12,5,120,8,380000,74000,58800,5986,20600
火星救援,"动作,冒险,科幻",美国,2015,11,25,130,9,560000,131000,58500,5239,30900
超凡蜘蛛侠2,"动作,冒险,科幻",美国,2014,5,4,142,9,70000,31000,58500,5736,6146
2012,动作,"美国,加拿大",2009,11,13,158,8.3,3641,5049,58400,58400,58400
邪不压正,"剧情,喜剧,动作",中国大陆,2018,7,13,137,7.7,440000,216000,58300,12200,31500
白蛇2：青蛇劫起,"冒险,奇幻,动画",中国大陆,2021,7,23,131,9,320000,339000,58000,5989,19300
追龙,"动作,犯罪",中国大陆,2017,9,30,128,9,430000,42000,57699,4051,9520
你的名字。,"爱情,动画,奇幻",日本,2016,12,2,106,9.2,750000,277000,57500,7632,28600
大鱼海棠,动画,中国大陆,2016,7,8,105,8.4,640000,230000,57300,7200,22700
少年派的奇幻漂流,"剧情,奇幻,冒险","美国,中国台湾,英国,加拿大",2012,11,22,127,9,8164,6102,57200,1129,10200
复仇者联盟,"动作,科幻,奇幻,冒险",美国,2012,5,5,142,8.8,9497,399,56800,6348,11900
拯救嫌疑人,"悬疑,犯罪,剧情",中国大陆,2023,11,1,119,9.3,110000,325000,56700,1703,17800
杀破狼2,"剧情,动作,犯罪",中国大陆,2015,6,18,120,9,720000,81000,55900,6491,26600
新神榜：杨戬,"动画,冒险,动作",中国大陆,2022,8,19,127,8.8,190000,184000,55500,3665,13400
爱情公寓,"喜剧,爱情",中国大陆,2018,8,10,116,6.8,1290000,1544000,55500,30299,49100
哥，你好,"喜剧,剧情",中国大陆,2022,9,9,111,9.1,150000,437000,54700,3164,14600
战狼,"动作,战争",中国大陆,2015,4,2,96,9.3,630000,67000,54400,3723,20800
四海,"剧情,爱情,喜剧",中国大陆,2022,2,1,128,8.6,180000,610000,54200,22700,47400
007：幽灵党,"动作,惊悚,冒险",美国,2015,11,13,150,8,620000,268000,54100,9098,30700
中国合伙人,"剧情,青春","中国大陆,中国香港",2013,5,17,112,8.9,10000,15000,54000,2465,10700
龙门飞甲,"动作,古装,武侠","中国大陆,中国香港",2011,12,15,120,7.7,1877,143,53900,1990,13400
